order_id,customer_name,customer_email,city,category,product_name,unit_price,quantity,total_amount,discount_percent,final_amount,payment_method,order_status,order_date,order_month,order_quarter,order_year,is_returned,is_cancelled
ORD10000,Kristen Lee,kherman@example.org,Ahmedabad,Home & Kitchen,Toaster,11806.97,4,47227.88,0.04,45338.76,Credit Card,Returned,2024-09-27,9,3,2024,1,0
ORD10001,Robert Berger,linda57@example.org,Mumbai,Books,Data Science Handbook,485.27,4,1941.08,0.22,1514.04,Debit Card,Delivered,2024-02-25,2,1,2024,0,0
ORD10002,Michelle Levine,sonya21@example.org,Chennai,Clothing,Sneakers,1242.02,2,2484.04,0.19,2012.07,Credit Card,Delivered,2024-10-15,10,4,2024,0,0
ORD10003,Christopher Ross,brooke98@example.org,Chennai,Food & Beverage,Coffee Beans,174.33,3,522.99,0.04,502.07,Net Banking,Delivered,2024-06-03,6,2,2024,0,0
ORD10004,Christopher Daniels,calhounamy@example.org,Delhi,Clothing,Jacket,2308.08,4,9232.32,0.06,8678.38,Cash on Delivery,Delivered,2024-11-04,11,4,2024,0,0
ORD10005,Amanda Williams,jared00@example.com,Kolkata,Clothing,Jacket,651.91,1,651.91,0.16,547.6,Cash on Delivery,Delivered,2024-12-13,12,4,2024,0,0
ORD10006,Derek Thomas,amberreed@example.org,Mumbai,Clothing,Dress,1351.46,2,2702.92,0.08,2486.69,Debit Card,Delivered,2024-10-04,10,4,2024,0,0
ORD10007,Sara Castro,maureen82@example.net,Hyderabad,Food & Beverage,Cookies,558.48,1,558.48,0.12,491.46,Cash on Delivery,Cancelled,2024-07-17,7,3,2024,0,1
ORD10008,Casey Ayala,parkerleslie@example.org,Hyderabad,Clothing,Jeans,2911.3,1,2911.3,0.18,2387.27,UPI,Delivered,2024-08-08,8,3,2024,0,0
ORD10009,Stephen Garrett,amanda18@example.org,Surat,Books,Self Help Book,569.9,5,2849.5,0.14,2450.57,Debit Card,Returned,2024-10-12,10,4,2024,1,0
ORD10010,Tracey Davies,jgarner@example.org,Kolkata,Food & Beverage,Coffee Beans,131.54,3,394.62,0.23,303.86,Net Banking,Cancelled,2024-03-06,3,1,2024,0,1
ORD10011,Andrea Roberts,lboyd@example.com,Delhi,Home & Kitchen,Knife Set,11873.66,3,35620.98,0.23,27428.15,UPI,Delivered,2024-01-22,1,1,2024,0,0
ORD10012,Tristan Clark,stephanieromero@example.org,Kolkata,Electronics,Smartphone,51179.67,5,255898.35,0.17,212395.63,Cash on Delivery,Delivered,2024-02-01,2,1,2024,0,0
ORD10013,Wendy Bishop,edwardmorrow@example.org,Mumbai,Home & Kitchen,Blender,11991.91,1,11991.91,0.18,9833.37,UPI,Cancelled,2024-08-20,8,3,2024,0,1
ORD10014,Eric Miranda,gary30@example.net,Kolkata,Books,Novel,809.42,2,1618.84,0.3,1133.19,Cash on Delivery,Returned,2024-09-11,9,3,2024,1,0
ORD10015,April Macdonald,whill@example.net,Chennai,Home & Kitchen,Air Fryer,835.2,3,2505.6,0.19,2029.54,Debit Card,Delivered,2024-11-04,11,4,2024,0,0
ORD10016,Melvin Hudson,rclark@example.net,Hyderabad,Home & Kitchen,Knife Set,9277.33,4,37109.32,0.05,35253.85,Debit Card,Returned,2024-05-06,5,2,2024,1,0
ORD10017,Brenda Lee,ritterjohn@example.org,Delhi,Electronics,Tablet,6696.7,5,33483.5,0.13,29130.65,UPI,Delivered,2024-10-18,10,4,2024,0,0
ORD10018,Carrie Munoz,natalie00@example.com,Kolkata,Clothing,Jeans,2539.53,1,2539.53,0.1,2285.58,Credit Card,Delivered,2024-04-16,4,2,2024,0,0
ORD10019,Michael Sherman,christinejones@example.org,Hyderabad,Electronics,Smartwatch,65589.77,3,196769.31,0.03,190866.23,Cash on Delivery,Cancelled,2024-01-24,1,1,2024,0,1
ORD10020,Brendan Jones,danielbanks@example.com,Pune,Home & Kitchen,Air Fryer,2876.14,4,11504.56,0.22,8973.56,Debit Card,Returned,2024-03-20,3,1,2024,1,0
ORD10021,Eugene Porter,kaitlinmartinez@example.com,Bengaluru,Clothing,Jeans,4154.19,3,12462.57,0.19,10094.68,UPI,Delivered,2024-02-28,2,1,2024,0,0
ORD10022,Meagan Murphy,romanrichard@example.org,Mumbai,Clothing,Jeans,2622.28,1,2622.28,0.12,2307.61,Cash on Delivery,Delivered,2024-04-10,4,2,2024,0,0
ORD10023,Abigail Davis,ylopez@example.com,Hyderabad,Home & Kitchen,Toaster,8323.19,4,33292.76,0.21,26301.28,Cash on Delivery,Delivered,2024-12-18,12,4,2024,0,0
ORD10024,Danielle Roth,timothyblackwell@example.org,Hyderabad,Home & Kitchen,Coffee Maker,5503.84,4,22015.36,0.13,19153.36,Debit Card,Delivered,2024-12-23,12,4,2024,0,0
ORD10025,Julia Obrien,lramos@example.org,Delhi,Food & Beverage,Cookies,633.85,5,3169.25,0.02,3105.86,UPI,Delivered,2024-06-17,6,2,2024,0,0
ORD10026,Maxwell Davis,paigelawson@example.net,Bengaluru,Home & Kitchen,Air Fryer,4154.4,4,16617.6,0.1,14955.84,Net Banking,Delivered,2024-12-11,12,4,2024,0,0
ORD10027,Jeffery Barrera,fburke@example.org,Pune,Electronics,Tablet,25446.53,5,127232.65,0.04,122143.34,UPI,Cancelled,2024-02-02,2,1,2024,0,1
ORD10028,Justin Thompson,christinadiaz@example.org,Jaipur,Books,Cook Book,257.46,2,514.92,0.24,391.34,UPI,Delivered,2024-09-17,9,3,2024,0,0
ORD10029,John Moss,tuckerterri@example.net,Bengaluru,Home & Kitchen,Air Fryer,6555.74,2,13111.48,0.27,9571.38,UPI,Delivered,2024-06-11,6,2,2024,0,0
ORD10030,Brooke Lopez,kevin78@example.org,Delhi,Books,Data Science Handbook,937.94,1,937.94,0.24,712.83,Cash on Delivery,Cancelled,2024-01-26,1,1,2024,0,1
ORD10031,Toni Cochran,jo10@example.com,Jaipur,Home & Kitchen,Coffee Maker,11015.96,1,11015.96,0.02,10795.64,Debit Card,Delivered,2024-04-23,4,2,2024,0,0
ORD10032,Thomas Mitchell,jameshernandez@example.com,Kolkata,Clothing,Jacket,3735.21,2,7470.42,0.15,6349.86,Credit Card,Returned,2024-07-05,7,3,2024,1,0
ORD10033,Corey Bernard,poolemorgan@example.net,Ahmedabad,Books,Data Science Handbook,745.16,3,2235.48,0.23,1721.32,Net Banking,Delivered,2024-05-27,5,2,2024,0,0
ORD10034,Christopher Alvarado,oconnorjoseph@example.org,Delhi,Home & Kitchen,Blender,4160.36,4,16641.44,0.26,12314.67,Cash on Delivery,Returned,2024-11-06,11,4,2024,1,0
ORD10035,Matthew Smith,christopherdavis@example.net,Delhi,Home & Kitchen,Blender,10670.29,1,10670.29,0.14,9176.45,Cash on Delivery,Delivered,2024-12-29,12,4,2024,0,0
ORD10036,Jason Brown,simpsonlaurie@example.org,Jaipur,Clothing,Sneakers,3664.01,2,7328.02,0.24,5569.3,Net Banking,Returned,2024-05-18,5,2,2024,1,0
ORD10037,Debra Gentry,floresjasmine@example.net,Bengaluru,Books,Self Help Book,339.01,4,1356.04,0.11,1206.88,Credit Card,Cancelled,2024-05-04,5,2,2024,0,1
ORD10038,Maria Bailey,jenniferlewis@example.org,Surat,Clothing,Jacket,2758.47,2,5516.94,0.28,3972.2,UPI,Delivered,2024-11-26,11,4,2024,0,0
ORD10039,Ashley Wood,benjaminalexander@example.com,Surat,Home & Kitchen,Coffee Maker,1840.67,5,9203.35,0.2,7362.68,Debit Card,Returned,2024-06-02,6,2,2024,1,0
ORD10040,Jason Dunn,arthurabbott@example.com,Surat,Electronics,Smartwatch,29255.61,4,117022.44,0.01,115852.22,Cash on Delivery,Delivered,2024-05-28,5,2,2024,0,0
ORD10041,Charles Robbins,kristine44@example.org,Kolkata,Books,Data Science Handbook,319.67,3,959.01,0.18,786.39,Credit Card,Delivered,2024-03-06,3,1,2024,0,0
ORD10042,Julie Johnson,brenda60@example.net,Kolkata,Electronics,Smartphone,30182.79,3,90548.37,0.11,80588.05,UPI,Delivered,2024-08-01,8,3,2024,0,0
ORD10043,Joseph Fox,wernerkimberly@example.com,Pune,Books,Self Help Book,799.82,5,3999.1,0.03,3879.13,Cash on Delivery,Returned,2024-12-16,12,4,2024,1,0
